"Date operation";"Date valeur";"Libelle";"Debit";"Credit"
"05/08/2019";"05/08/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"1132,90"
"02/08/2019";"02/08/2019";"CARTE 31/07 ASF-VIRSAC VEDENE CEDEX 8";"29,40";""
"01/08/2019";"01/08/2019";"CARTE 31/07 CB PASSION FLEUR BISCARROSSE";"29,90";""
"01/08/2019";"01/08/2019";"CARTE 31/07 INTERMARCHE VL ST ANDRE DE CU";"53,43";""
"01/08/2019";"01/08/2019";"CARTE 31/07 TPS DES SAISONS BISCARROSSE";"12,17";""
"01/08/2019";"01/08/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"2888,34"
"31/07/2019";"31/07/2019";"CARTE 30/07 OKAWA CESSON SEVIGNE";"0,90";""
"30/07/2019";"30/07/2019";"CARTE 29/07 FNAC RENNES";"45,00";""
"30/07/2019";"30/07/2019";"CARTE 29/07 UNIQLO RENNES RENNES";"15,80";""
"30/07/2019";"30/07/2019";"CARTE 29/07 SPRINGFIELD425 RENNES";"25,98";""
"29/07/2019";"29/07/2019";"PRLV Orange";"72,99";""
"29/07/2019";"29/07/2019";"PRLV EDF clients particuliers";"26,13";""
"29/07/2019";"29/07/2019";"CARTE 27/07 CHEZ LA MERE 6 S VANNES";"62,70";""
"29/07/2019";"29/07/2019";"CARTE 26/07 MARKET RENNES";"24,30";""
"29/07/2019";"29/07/2019";"CARTE 26/07 BRASS DES HALLES VANNES";"31,00";""
"26/07/2019";"26/07/2019";"CARTE 25/07 LA CAVE DU SOMM RENNES";"26,00";""
"26/07/2019";"26/07/2019";"CARTE 25/07 MADE IN BEY RENNES";"18,00";""
"26/07/2019";"26/07/2019";"CARTE 25/07 OKAWA CESSON SEVIGNE";"1,40";""
"25/07/2019";"25/07/2019";"CARTE 24/07 REL.TOTAL 00337 RENNES";"71,59";""
"25/07/2019";"25/07/2019";"CARTE 24/07 L'EPICERIE RENNES";"9,90";""
"25/07/2019";"25/07/2019";"CARTE 24/07 DECATHLON 0073 BETTON";"35,00";""
"25/07/2019";"25/07/2019";"CARTE 24/07 CARREFOUR CITY RENNES";"32,87";""
"23/07/2019";"23/07/2019";"RET DAB 23/07/19 RENNES";"20,00";""
"24/07/2019";"24/07/2019";"CARTE 23/07 BOCAGE RENNES";"37,50";""
"21/07/2019";"21/07/2019";"RET DAB 21/07/19 LA TURBALLE";"40,00";""
"23/07/2019";"23/07/2019";"CARTE 20/07 CARREFOUR CITY RENNES";"11,35";""
"22/07/2019";"22/07/2019";"CARTE 20/07 SUPER U 35 RENNES";"14,34";""
"20/07/2019";"20/07/2019";"CARTE 19/07 BISTROT COCAGNE RENNES";"26,00";""
"20/07/2019";"20/07/2019";"CARTE 19/07 LE SABLIER RENNES";"8,50";""
"18/07/2019";"18/07/2019";"CHQ 1285152";"15,85";""
"18/07/2019";"18/07/2019";"CARTE 17/07 LE LOFT BY VILL RENNES";"230,70";""
"18/07/2019";"18/07/2019";"CARTE 17/07 LE SABLIER RENNES";"39,50";""
"17/07/2019";"17/07/2019";"CARTE 16/07 CARREFOUR CITY RENNES";"15,58";""
"17/07/2019";"17/07/2019";"CARTE 16/07 OKAWA CESSON SEVIGNE";"1,30";""
"17/07/2019";"17/07/2019";"VIR LEMAIRE AURELIEN";"50,00";""
"16/07/2019";"16/07/2019";"CARTE 15/07 L'EPICERIE RENNES";"15,70";""
"16/07/2019";"16/07/2019";"CARTE 15/07 10 PSTA RENNES";"19,85";""
"16/07/2019";"16/07/2019";"CARTE 15/07 OKAWA CESSON SEVIGNE";"1,30";""
"15/07/2019";"15/07/2019";"CARTE 13/07 HETM071 RENNES";"12,99";""
"15/07/2019";"15/07/2019";"CARTE 13/07 CARREFOUR CITY RENNES";"20,16";""
"15/07/2019";"15/07/2019";"CARTE 13/07 SUPER U 35 RENNES";"22,83";""
"15/07/2019";"14/07/2019";"CARTE 13/07 GAL LAFAYETTE RENNES";"8,99";""
"12/07/2019";"12/07/2019";"CARTE 11/07 AIRBNB 1415800595 80,72 EUR";"80,72";""
"12/07/2019";"12/07/2019";"CARTE 11/07 JOSFL PARIS 14";"5,80";""
"09/07/2019";"09/07/2019";"F COTISATION EUROCOMPTE";"9,57";""
"09/07/2019";"09/07/2019";"CARTE 08/07 RN7 SUD KREMLIN BICETR";"43,70";""
"08/07/2019";"08/07/2019";"PRLV ASP";"35,89";""
"08/07/2019";"08/07/2019";"CARTE 07/07 PIZZA TEMPO RENNES";"16,90";""
"08/07/2019";"08/07/2019";"CARTE 06/07 C ET A FRANCE* RENNES";"22,80";""
"08/07/2019";"08/07/2019";"CARTE 06/07 SPEEDY000000050 RENNES";"71,15";""
"08/07/2019";"08/07/2019";"CARTE 06/07 CARREFOUR CITY RENNES";"5,26";""
"08/07/2019";"08/07/2019";"CARTE 06/07 CARREFOUR CITY RENNES";"2,58";""
"08/07/2019";"08/07/2019";"CARTE 06/07 PHARMACIE DE LA RENNES";"6,54";""
"08/07/2019";"08/07/2019";"CARTE 06/07 SUPER U 35 RENNES";"22,84";""
"08/07/2019";"08/07/2019";"CARTE 04/07 MENZZO ALFORTVILLE";"1300,00";""
"08/07/2019";"07/07/2019";"CARTE 06/07 CAFE POP RENNES";"61,00";""
"08/07/2019";"07/07/2019";"CARTE 06/07 DEVRED 125 RENNES";"69,00";""
"06/07/2019";"06/07/2019";"CARTE 05/07 AMZN Mktp FR amazon.fr";"34,99";""
"06/07/2019";"06/07/2019";"CARTE 05/07 AMZN Mktp FR amazon.fr";"53,51";""
"06/07/2019";"06/07/2019";"CARTE 05/07 AMZN Mktp FR amazon.fr";"39,98";""
"06/07/2019";"06/07/2019";"CARTE 05/07 LA PISTE NFC RENNES";"13,00";""
"06/07/2019";"06/07/2019";"CARTE 05/07 LA PISTE NFC RENNES";"5,50";""
"06/07/2019";"06/07/2019";"CARTE 05/07 LA PISTE NFC RENNES";"5,50";""
"04/07/2019";"05/07/2019";"ECH PRET 0154435646303";"24,45";""
"04/07/2019";"05/07/2019";"ECH PRET 0154435646301";"832,41";""
"05/07/2019";"05/07/2019";"CARTE 05/07 AMZN Mktp FR amazon.fr";"39,99";""
"05/07/2019";"05/07/2019";"CARTE 04/07 GAL LAFAYETTE RENNES";"46,49";""
"05/07/2019";"05/07/2019";"CARTE 04/07 AMZN Mktp FR amazon.fr";"18,99";""
"05/07/2019";"05/07/2019";"CARTE 04/07 AMZN Mktp FR amazon.fr";"89,79";""
"05/07/2019";"05/07/2019";"CARTE 04/07 LE LOFT BY VILL RENNES";"41,60";""
"02/07/2019";"02/07/2019";"VIR Herve Delapree";"29,99";""
"03/07/2019";"03/07/2019";"CARTE 02/07 AMZN Mktp FR amazon.fr";"351,22";""
"03/07/2019";"03/07/2019";"CARTE 02/07 AIRBNB 1415800595 83,52 EUR";"83,52";""
"03/07/2019";"03/07/2019";"CARTE 02/07 ALDM RENNES RENNES";"28,76";""
"02/07/2019";"02/07/2019";"CARTE 01/07 NJ RENNES";"19,25";""
"01/07/2019";"01/07/2019";"CARTE 30/06 CARREFOUR CITY RENNES";"15,92";""
"01/07/2019";"01/07/2019";"CARTE 30/06 CARREFOUR CITY RENNES";"6,07";""
"29/06/2019";"29/06/2019";"CARTE 28/06 LE PETIT HANOI RENNES";"22,35";""
"28/06/2019";"28/06/2019";"PRLV Orange";"72,99";""
"28/06/2019";"28/06/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"2868,45"
"27/06/2019";"27/06/2019";"PRLV EDF clients particuliers";"26,13";""
"27/06/2019";"27/06/2019";"CARTE 26/06 NICOLAS 8633 RENNES";"11,50";""
"26/06/2019";"26/06/2019";"PRLV Engie";"81,59";""
"24/06/2019";"24/06/2019";"CARTE 22/06 CARREFOUR CITY RENNES";"9,22";""
"24/06/2019";"24/06/2019";"CARTE 22/06 AMARY COIFFURE RENNES";"20,00";""
"24/06/2019";"24/06/2019";"CARTE 22/06 SUPER U 35 RENNES";"61,20";""
"21/06/2019";"21/06/2019";"CARTE 20/06 BAKKHOS RENNES";"5,00";""
"20/06/2019";"20/06/2019";"CARTE 19/06 RN7 SUD KREMLIN BICETR";"70,40";""
"19/06/2019";"19/06/2019";"CHQ 1285156";"290,00";""
"19/06/2019";"19/06/2019";"CARTE 18/06 AVEC RENNES";"14,10";""
"18/06/2019";"18/06/2019";"CARTE 17/06 AMZN Mktp FR amazon.fr";"71,85";""
"18/06/2019";"18/06/2019";"CARTE 17/06 CARREFOUR CITY RENNES";"28,75";""
"18/06/2019";"18/06/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"188,85"
"17/06/2019";"17/06/2019";"CARTE 16/06 SUPER U 44 LA TURBALLE";"55,03";""
"17/06/2019";"17/06/2019";"CARTE 15/06 LECLERC GUERANDE GUERANDE";"23,70";""
"17/06/2019";"17/06/2019";"CARTE 12/06 MEETIC 75 PARIS";"4,99";""
"17/06/2019";"17/06/2019";"VIR SIACI SAINT HONORE";"";"9,00"
"17/06/2019";"17/06/2019";"VIR LEMAIRE AURELIEN";"50,00";""
"15/06/2019";"15/06/2019";"CARTE 14/06 AMZN Mktp FR amazon.fr";"239,98";""
"14/06/2019";"14/06/2019";"CARTE 13/06 BAKKHOS RENNES";"23,40";""
"14/06/2019";"14/06/2019";"CARTE 13/06 PIMPRENELLE RENNES";"12,30";""
"14/06/2019";"14/06/2019";"CARTE 13/06 LE BATEAU IVRE RENNES";"13,70";""
"13/06/2019";"13/06/2019";"CHQ 1285155";"30,00";""
"13/06/2019";"13/06/2019";"CARTE 12/06 SCARABEEBIOCOOP RENNES";"8,06";""
"12/06/2019";"12/06/2019";"CARTE 11/06 CARREFOUR CITY RENNES";"11,43";""
"11/06/2019";"11/06/2019";"CARTE 09/06 CARREFOUR CITY RENNES";"22,79";""
"11/06/2019";"11/06/2019";"CARTE 08/06 FERN DISTRIBUTIO RENNES";"24,20";""
"11/06/2019";"11/06/2019";"VIR C.P.A.M. RENNES";"";"20,00"
"10/06/2019";"10/06/2019";"CARTE 08/06 SUPER U 35 RENNES";"31,20";""
"10/06/2019";"10/06/2019";"VIR SIACI SAINT HONORE";"";"16,72"
"08/06/2019";"08/06/2019";"F COTISATION EUROCOMPTE";"9,57";""
"08/06/2019";"08/06/2019";"CARTE 07/06 LE SAINT GERMAI RENNES";"40,00";""
"08/06/2019";"08/06/2019";"CARTE 07/06 CARREFOUR CITY RENNES";"4,53";""
"07/06/2019";"07/06/2019";"CARTE 06/06 AMZN Mktp FR amazon.fr";"37,98";""
"07/06/2019";"07/06/2019";"CARTE 06/06 dusudalouest BETTON";"24,50";""
"05/06/2019";"05/06/2019";"CHQ 1285154";"25,00";""
"04/06/2019";"05/06/2019";"ECH PRET 0154435646303";"24,45";""
"04/06/2019";"05/06/2019";"ECH PRET 0154435646301";"832,41";""
"05/06/2019";"05/06/2019";"CARTE 04/06 ATELIER CHOCOLA RENNES";"30,10";""
"05/06/2019";"05/06/2019";"VIR C.P.A.M. RENNES";"";"38,03"
"02/06/2019";"02/06/2019";"RET DAB 02/06/19 06618 RENNES CR";"30,00";""
"04/06/2019";"04/06/2019";"CARTE 03/06 EPI DE BLE RENNES";"29,70";""
"04/06/2019";"04/06/2019";"CARTE 01/06 COFIROUTE SEVRES 92310";"23,00";""
"04/06/2019";"04/06/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"836,80"
"03/06/2019";"03/06/2019";"CARTE 02/06 RENNESPISCINE RENNES";"45,00";""
"03/06/2019";"03/06/2019";"CARTE 01/06 SUPER U 35 RENNES";"14,27";""
"03/06/2019";"03/06/2019";"CARTE 31/05 REL.TOTAL 00337 RENNES";"55,28";""
"01/06/2019";"01/06/2019";"CARTE 31/05 SUPER ISTANBUL RENNES";"13,98";""
"31/05/2019";"31/05/2019";"CARTE 30/05 BAKKHOS RENNES";"18,00";""
"31/05/2019";"31/05/2019";"CARTE 30/05 LE BATEAU IVRE RENNES";"30,00";""
"31/05/2019";"31/05/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"2877,80"
"30/05/2019";"30/05/2019";"CARTE 29/05 CARREFOUR CITY RENNES";"3,25";""
"29/05/2019";"29/05/2019";"CARTE 28/05 CAFE POP RENNES";"50,80";""
"29/05/2019";"29/05/2019";"CARTE 28/05 CRCA RENNES";"85,00";""
"28/05/2019";"28/05/2019";"VIR SIACI SAINT HONORE";"";"8,98"
"27/05/2019";"27/05/2019";"CHQ 1285153";"37,00";""
"27/05/2019";"27/05/2019";"PRLV Orange";"72,99";""
"27/05/2019";"27/05/2019";"PRLV EDF clients particuliers";"26,13";""
"27/05/2019";"27/05/2019";"CARTE 25/05 DECATHLON BETTON";"3,00";""
"27/05/2019";"27/05/2019";"CARTE 25/05 CARREFOUR CITY RENNES";"30,20";""
"27/05/2019";"26/05/2019";"CARTE 25/05 MAG VERT 793 BETTON";"26,10";""
"25/05/2019";"25/05/2019";"CARTE 24/05 LE SABLIER RENNES";"43,50";""
"24/05/2019";"24/05/2019";"CARTE 22/05 POLYCLINIQUE SEV CESSON SEVIGNE";"2,50";""
"23/05/2019";"23/05/2019";"CARTE 22/05 DR KHECHEN RENNESRENNES/";"55,75";""
"23/05/2019";"23/05/2019";"VIR C.P.A.M. RENNES";"";"19,97"
"22/05/2019";"22/05/2019";"CARTE 21/05 LIDL RENNE   3680/";"27,64";""
"18/05/2019";"18/05/2019";"RET DAB 18/05/19 06618 RENNES CR";"30,00";""
"21/05/2019";"21/05/2019";"CARTE 20/05 DR KHECHEN RENNESRENNES/";"29,95";""
"21/05/2019";"21/05/2019";"CARTE 18/05 COFIROUTE SEVRES 92310";"23,00";""
"20/05/2019";"20/05/2019";"CARTE 18/05 RELAIS RENNES HI RENNES";"36,44";""
"20/05/2019";"20/05/2019";"CARTE 17/05 CARREFOUR CITY RENNES";"5,81";""
"20/05/2019";"20/05/2019";"VIR SIACI SAINT HONORE";"";"7,50"
"18/05/2019";"18/05/2019";"CARTE 17/05 BRICOLES RENNES";"79,50";""
"18/05/2019";"18/05/2019";"CARTE 17/05 PIZZA TEMPO RENNES";"16,90";""
"18/05/2019";"18/05/2019";"CARTE 17/05 SCARABEEBIOCOOP RENNES";"3,46";""
"17/05/2019";"17/05/2019";"PRLV SPL EAU DU BASSIN RENNAIS";"54,87";""
"17/05/2019";"17/05/2019";"CARTE 16/05 BAKKHOS RENNES";"14,80";""
"17/05/2019";"17/05/2019";"CARTE 15/05 MONSIEUR TSHIRT SAINT GREGOIRE";"25,00";""
"17/05/2019";"17/05/2019";"VIR LEMAIRE AURELIEN";"50,00";""
"16/05/2019";"16/05/2019";"CARTE 15/05 LE PETIT SOUK RENNES";"8,50";""
"16/05/2019";"16/05/2019";"CARTE 15/05 LE PETIT SOUK RENNES";"22,40";""
"16/05/2019";"16/05/2019";"CARTE 15/05 LE PETIT HANOI RENNES";"20,15";""
"15/05/2019";"15/05/2019";"CARTE 14/05 CARREFOUR CITY RENNES";"14,43";""
"13/05/2019";"13/05/2019";"CARTE 11/05 AMZN Mktp FR amazon.fr";"85,93";""
"13/05/2019";"13/05/2019";"CARTE 11/05 AMZN Mktp FR amazon.fr";"16,13";""
"13/05/2019";"13/05/2019";"CARTE 11/05 AMZN Mktp FR amazon.fr";"19,56";""
"13/05/2019";"13/05/2019";"CARTE 11/05 SUPER U 35 RENNES";"8,38";""
"13/05/2019";"13/05/2019";"VIR C.P.A.M. RENNES";"";"11,50"
"11/05/2019";"11/05/2019";"CARTE 10/05 AMZN Mktp FR amazon.fr";"19,99";""
"11/05/2019";"11/05/2019";"CARTE 10/05 BIOMNIS LYON";"61,80";""
"11/05/2019";"11/05/2019";"CARTE 09/05 LE BATEAU IVRE RENNES";"16,50";""
"09/05/2019";"09/05/2019";"CARTE 06/05 FACULTE DES METI BRUZ";"24,20";""
"09/05/2019";"08/05/2019";"F COTISATION EUROCOMPTE";"9,57";""
"04/05/2019";"05/05/2019";"ECH PRET 0154435646303";"24,45";""
"04/05/2019";"05/05/2019";"ECH PRET 0154435646301";"832,41";""
"04/05/2019";"04/05/2019";"RET DAB 04/05/19 RENNES LE BASTA";"20,00";""
"06/05/2019";"06/05/2019";"CARTE 06/05 AMZN Mktp FR amazon.fr";"6,99";""
"06/05/2019";"06/05/2019";"CARTE 05/05 CARREFOUR CITY RENNES";"15,03";""
"06/05/2019";"06/05/2019";"CARTE 04/05 Amazon.fr amazon.fr";"59,00";""
"06/05/2019";"06/05/2019";"CARTE 04/05 FORUM DU LIVRE N RENNES";"12,50";""
"06/05/2019";"06/05/2019";"CARTE 04/05 SUPER U 35 RENNES";"2,81";""
"06/05/2019";"06/05/2019";"CARTE 03/05 LE CAFE DU PORT RENNES";"12,00";""
"06/05/2019";"06/05/2019";"CARTE 03/05 LOCO LOCA RENNES";"34,00";""
"06/05/2019";"06/05/2019";"CARTE 03/05 LOCO LOCA RENNES";"14,00";""
"06/05/2019";"05/05/2019";"CARTE 04/05 BOULANGER RENNES";"4,93";""
"06/05/2019";"06/05/2019";"VIR SIACI SAINT HONORE";"";"9,00"
"04/05/2019";"04/05/2019";"CARTE 03/05 LE PETIT HANOI RENNES";"21,15";""
"04/05/2019";"04/05/2019";"CARTE 03/05 SNC CLALEX RENNES";"21,59";""
"03/05/2019";"03/05/2019";"CARTE 02/05 CARREFOUR CITY RENNES";"3,71";""
"02/05/2019";"02/05/2019";"CHQ 1285151";"30,00";""
"02/05/2019";"02/05/2019";"CARTE 30/04 SARL CHEZ PAUL RENNES";"10,00";""
"02/05/2019";"01/05/2019";"CARTE 30/04 O RETROVISEUR RENNES";"25,40";""
"30/04/2019";"30/04/2019";"CHQ 1285238";"141,93";""
"30/04/2019";"30/04/2019";"CARTE 29/04 DEL ARTE BRUZ";"33,80";""
"30/04/2019";"30/04/2019";"CARTE 29/04 LIDL RENNE   3680/";"23,14";""
"30/04/2019";"30/04/2019";"VIR C.P.A.M. RENNES";"";"17,50"
"30/04/2019";"30/04/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"3087,79"
"29/04/2019";"29/04/2019";"PRLV Orange";"72,99";""
"29/04/2019";"29/04/2019";"PRLV EDF clients particuliers";"26,13";""
"29/04/2019";"29/04/2019";"CARTE 28/04 SUPER ISTANBUL RENNES";"35,72";""
"29/04/2019";"29/04/2019";"CARTE 28/04 SUPER U 44 LA TURBALLE";"65,88";""
"29/04/2019";"29/04/2019";"CARTE 27/04 MAX PLUS LE POULIGUEN";"2,00";""
"29/04/2019";"29/04/2019";"CARTE 27/04 SUPER U 44 LA TURBALLE";"29,52";""
"29/04/2019";"29/04/2019";"CARTE 24/04 MEETIC 75 PARIS";"4,99";""
"25/04/2019";"25/04/2019";"VIR CHIMBAULT";"500,00";""
"24/04/2019";"24/04/2019";"PRLV Engie";"139,21";""
"24/04/2019";"24/04/2019";"VIR CHIMBAULT";"677,00";""
"24/04/2019";"24/04/2019";"CARTE 23/04 LE LOFT BY VILL RENNES";"21,70";""
"24/04/2019";"24/04/2019";"CARTE 23/04 CARREFOUR CITY RENNES";"3,81";""
"24/04/2019";"24/04/2019";"VIR SIACI SAINT HONORE";"";"20,55"
"22/04/2019";"22/04/2019";"RET DAB 220419 RENNES MAUREPAS";"30,00";""
"23/04/2019";"23/04/2019";"CARTE 21/04 FERN DISTRIBUTIO RENNES";"16,10";""
"23/04/2019";"23/04/2019";"CARTE 20/04 CARREFOUR CITY RENNES";"19,53";""
"20/04/2019";"20/04/2019";"CARTE 19/04 BRICOLES RENNES";"26,50";""
"20/04/2019";"20/04/2019";"CARTE 19/04 AMARY COIFFURE RENNES";"20,00";""
"20/04/2019";"20/04/2019";"CARTE 19/04 H&M071 RENNES";"34,98";""
"20/04/2019";"20/04/2019";"CARTE 19/04 CARREFOUR CITY RENNES";"26,85";""
"19/04/2019";"19/04/2019";"CARTE 18/04 GRANDS GAMINS RENNES";"34,90";""
"19/04/2019";"19/04/2019";"CARTE 18/04 2JL RENNES";"44,75";""
"18/04/2019";"18/04/2019";"CARTE 17/04 LE PETIT HANOI RENNES";"21,85";""
"18/04/2019";"18/04/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"517,49"
"17/04/2019";"17/04/2019";"CARTE 16/04 AMZN Mktp FR amazon.fr";"63,70";""
"17/04/2019";"17/04/2019";"CARTE 16/04 AMZN Mktp FR amazon.fr";"12,08";""
"17/04/2019";"17/04/2019";"CARTE 16/04 AMZN Mktp FR amazon.fr";"3,79";""
"17/04/2019";"17/04/2019";"CARTE 16/04 REGIE PLLOU CHU RENNES";"20,55";""
"17/04/2019";"17/04/2019";"VIR LEMAIRE AURELIEN";"50,00";""
"16/04/2019";"16/04/2019";"CARTE 16/04 AMZN Mktp FR amazon.fr";"33,65";""
"16/04/2019";"16/04/2019";"CARTE 16/04 AMZN Mktp FR amazon.fr";"52,96";""
"16/04/2019";"16/04/2019";"CARTE 16/04 AMZN Mktp FR amazon.fr";"56,00";""
"16/04/2019";"16/04/2019";"CARTE 15/04 AMZN Mktp FR amazon.fr";"27,90";""
"15/04/2019";"15/04/2019";"CARTE 14/04 CARREFOUR CITY RENNES";"24,69";""
"15/04/2019";"15/04/2019";"CARTE 12/04 LE LOFT BY VILL RENNES";"133,40";""
"13/04/2019";"13/04/2019";"CARTE 12/04 AMZN Mktp FR amazon.fr";"22,99";""
"13/04/2019";"13/04/2019";"CARTE 12/04 LE BATEAU IVRE RENNES";"10,75";""
"12/04/2019";"12/04/2019";"CARTE 11/04 U EXPRESS 35 RENNES";"16,38";""
"09/04/2019";"09/04/2019";"F COTISATION EUROCOMPTE";"9,57";""
"09/04/2019";"09/04/2019";"CARTE 08/04 RENNESPISCINE RENNES";"45,00";""
"08/04/2019";"08/04/2019";"CARTE 06/04 CARREFOUR CITY RENNES";"34,06";""
"06/04/2019";"06/04/2019";"CARTE 05/04 BRICOLES RENNES";"26,70";""
"06/04/2019";"06/04/2019";"CARTE 05/04 LE SABLIER RENNES";"18,00";""
"06/04/2019";"06/04/2019";"CARTE 05/04 AMZN Mktp FR amazon.fr";"117,16";""
"04/04/2019";"05/04/2019";"ECH PRET 0154435646303";"24,45";""
"04/04/2019";"05/04/2019";"ECH PRET 0154435646301";"832,41";""
"04/04/2019";"04/04/2019";"CARTE 03/04 SARL SAVIVANH RENNES";"17,00";""
"04/04/2019";"04/04/2019";"VIR SIACI SAINT HONORE";"";"9,00"
"01/04/2019";"01/04/2019";"CARTE 31/03 GEOPIE RENNES";"17,40";""
"01/04/2019";"01/04/2019";"VIR EPITECH ECOLE INFORMATIQUE N";"";"3241,68"
"30/03/2019";"30/03/2019";"CARTE 29/03 AMZN Mktp FR amazon.fr";"23,70";""
"29/03/2019";"29/03/2019";"PRLV Orange";"72,99";""
"29/03/2019";"29/03/2019";"CARTE 28/03 AMZN Mktp FR amazon.fr";"123,54";""
"29/03/2019";"29/03/2019";"CARTE 28/03 CARREFOUR CITY RENNES";"8,40";""
"29/03/2019";"29/03/2019";"CARTE 27/03 PETITE NATURE RENNES";"11,40";""
"27/03/2019";"27/03/2019";"PRLV TIPSEPA MACIF LB-MACIF";"657,99";""
"27/03/2019";"27/03/2019";"PRLV EDF clients particuliers";"26,13";""
"27/03/2019";"27/03/2019";"CARTE 26/03 LE SWAN RENNES";"14,60";""
"27/03/2019";"27/03/2019";"CARTE 26/03 LA FROMAGEE JYB RENNES";"3,30";""
"27/03/2019";"27/03/2019";"CARTE 26/03 CARREFOUR CITY RENNES";"8,61";""
"27/03/2019";"27/03/2019";"VIR C.P.A.M. RENNES";"";"20,00"
"26/03/2019";"26/03/2019";"CARTE 25/03 AMZN Mktp FR amazon.fr";"56,95";""
"26/03/2019";"26/03/2019";"CARTE 25/03 PETITE NATURE RENNES";"8,80";""
"26/03/2019";"26/03/2019";"CARTE 24/03 COFIROUTE SEVRES 92310";"23,00";""
"25/03/2019";"25/03/2019";"CARTE 24/03 TOTAL RENNES";"53,86";""
"25/03/2019";"25/03/2019";"CARTE 23/03 CARREFOUR CITY RENNES";"6,31";""
"25/03/2019";"25/03/2019";"CARTE 23/03 SUPER U 35 RENNES";"16,59";""
"25/03/2019";"24/03/2019";"CARTE 23/03 NOZ RENNES";"11,49";""

